G0 ,G1 ,Vial,Count ,G0_deaths,Zero_emergence,Notes 
23,27,1404,77,0,0,
23,27,1405,38,0,0,
23,27,1406,9,0,0,
23,27,1407,42,0,0,
23,27,1408,48,0,0,
23,27,1409,51,0,0,
23,27,1410,74,0,0,
23,27,1411,39,0,0,
23,27,1412,73,0,0,
23,27,1413,71,0,0,
23,27,1414,49,0,0,
23,27,1415,99,0,0,
23,27,1416,10,0,0,
23,27,1417,11,0,0,
23,27,1418,89,0,0,
23,27,1419,65,0,0,
23,27,1420,50,0,0,
23,27,1421,54,0,0,
23,27,1422,65,0,0,
23,27,1423,71,0,0,
23,27,1424,45,0,0,
23,27,1425,85,0,0,
23,27,1426,1,0,0,
23,27,1427,25,0,0,
23,27,1428,70,0,0,
23,27,1429,44,0,0,
23,27,1430,47,0,0,
23,27,1431,72,0,0,
23,27,1432,65,0,0,
23,27,1433,49,0,0,
23,27,1434,49,0,0,
23,27,1435,74,0,0,
23,27,1436,0,0,1,
23,27,1437,12,0,0,
23,27,1438,44,0,0,
23,27,1439,39,0,0,
23,27,1440,81,0,0,
27,19,1441,1,0,0,
27,19,1442,0,0,1,
27,19,1443,3,0,0,
27,19,1444,0,0,1,
27,19,1445,0,0,1,
27,19,1446,0,0,1,
27,19,1447,0,0,1,
27,19,1448,0,0,1,
27,19,1449,5,0,0,
27,19,1450,0,0,1,
27,19,1451,30,0,0,
27,19,1452,3,0,0,
27,19,1453,8,0,0,
27,19,1454,7,0,0,
27,19,1455,5,0,0,
27,19,1456,0,0,1,
27,19,1457,0,0,1,
27,19,1458,0,0,1,
27,19,1459,0,0,1,
27,19,1460,0,0,1,
27,19,1461,7,0,0,
27,19,1462,8,0,0,
27,19,1463,0,0,1,
27,19,1464,0,0,1,
27,19,1465,1,0,0,
27,19,1466,0,0,1,
27,19,1467,0,0,1,
27,19,1468,0,0,1,
27,19,1469,0,0,1,
27,19,1470,0,0,1,
27,19,1471,5,0,0,
27,19,1472,10,0,0,
27,19,1473,0,0,1,
27,19,1474,0,0,1,
27,19,1475,0,0,1,
27,19,1476,4,1,0,
27,19,1477,0,0,1,
27,19,1478,0,0,1,
27,19,1479,0,0,1,
27,19,1480,0,0,1,
27,21,1481,20,0,0,
27,21,1482,13,0,0,
27,21,1483,5,0,0,
27,21,1484,0,0,1,
27,21,1485,0,0,1,
27,21,1486,0,0,1,
27,21,1487,0,0,1,
27,21,1488,9,1,0,
27,21,1489,8,0,0,
27,21,1490,3,0,0,
27,21,1491,1,0,0,
27,21,1492,1,0,0,
27,21,1493,15,0,0,
27,21,1494,0,0,1,
27,21,1495,0,0,1,
27,21,1496,0,0,1,
27,21,1497,0,0,1,
27,21,1498,0,1,1,
27,21,1499,0,0,1,
27,21,1500,0,0,1,
27,21,1501,0,0,1,
27,21,1502,0,0,1,
27,21,1503,11,0,0,
27,21,1504,0,0,1,
27,21,1505,0,0,1,
27,21,1506,24,0,0,
27,21,1507,0,0,1,
27,21,1508,0,0,1,
27,21,1509,0,0,1,
27,21,1510,2,0,0,
27,21,1511,4,0,0,
27,21,1512,0,0,1,
27,21,1513,0,0,1,
27,21,1514,0,0,1,
27,21,1515,0,0,1,
27,21,1516,0,0,1,
27,21,1517,0,0,1,
27,21,1518,0,0,1,
27,21,1519,0,0,1,
27,21,1520,0,0,1,
27,23,1521,1,1,0,
27,23,1522,0,0,1,
27,23,1523,0,0,1,
27,23,1524,0,0,1,
27,23,1525,0,1,1,
27,23,1526,0,1,1,
27,23,1527,11,0,0,
27,23,1528,19,0,0,
27,23,1529,0,1,1,
27,23,1530,0,1,1,
27,23,1531,0,1,1,
27,23,1532,7,0,0,
27,23,1533,0,0,1,
27,23,1534,0,0,1,
27,23,1535,16,0,0,
27,23,1536,0,1,1,
27,23,1537,35,0,0,
27,23,1538,23,0,0,
27,23,1539,3,1,0,
27,23,1540,0,0,1,
27,23,1541,0,0,1,
27,23,1542,3,0,0,
27,23,1543,0,1,1,
27,23,1544,0,0,1,
27,23,1545,1,0,0,
27,23,1546,4,0,0,
27,23,1547,0,1,1,
27,23,1548,1,0,0,
27,23,1549,46,0,0,
27,23,1550,0,1,1,
27,23,1551,0,1,1,
27,23,1552,7,0,0,
27,23,1553,0,0,1,
27,23,1554,31,0,0,
27,23,1555,1,0,0,
27,23,1556,2,0,0,
27,23,1557,4,0,0,
27,23,1558,0,0,1,
27,23,1559,16,0,0,
27,23,1560,6,1,0,
27,25,1561,60,0,0,
27,25,1562,0,0,1,
27,25,1563,0,0,1,
27,25,1564,15,0,0,
27,25,1565,54,0,0,
27,25,1566,0,1,1,
27,25,1567,39,1,0,
27,25,1568,27,1,0,
27,25,1569,63,0,0,
27,25,1570,4,0,0,
27,25,1571,91,0,0,
27,25,1572,0,1,1,
27,25,1573,0,0,1,
27,25,1574,59,0,0,
27,25,1575,24,0,0,
27,25,1576,31,0,0,
27,25,1577,6,1,0,
27,25,1578,12,0,0,
27,25,1579,23,0,0,
27,25,1580,38,1,0,
27,25,1581,37,0,0,
27,25,1582,0,0,1,
27,25,1583,4,0,0,
27,25,1584,19,0,0,
27,25,1585,15,0,0,
27,25,1586,0,1,1,
27,25,1587,15,0,0,
27,25,1588,21,1,0,
27,25,1589,29,0,0,
27,25,1590,31,0,0,
27,25,1591,8,0,0,
27,25,1592,0,0,1,
27,25,1593,0,0,1,
27,25,1594,23,0,0,
27,25,1595,4,0,0,
27,25,1596,12,0,0,
27,25,1597,1,1,0,
27,25,1598,31,1,0,
27,25,1599,0,0,1,
27,25,1600,0,0,1,
27,27,1601,39,0,0,
27,27,1602,1,0,0,
27,27,1603,0,0,1,
27,27,1604,26,0,0,
27,27,1605,17,0,0,
27,27,1606,42,1,0,
27,27,1607,7,1,0,
27,27,1608,21,1,0,
27,27,1609,0,0,1,
27,27,1610,3,0,0,
27,27,1611,0,0,1,
27,27,1612,28,0,0,
27,27,1613,26,0,0,
27,27,1614,5,0,0,
27,27,1615,38,0,0,
27,27,1616,31,0,0,
27,27,1617,9,1,0,
27,27,1618,0,1,1,
27,27,1619,11,1,0,
27,27,1620,7,1,0,
27,27,1621,14,0,0,
27,27,1622,0,0,1,
27,27,1623,0,1,1,
27,27,1624,8,0,0,
27,27,1625,6,0,0,
27,27,1626,0,1,1,
27,27,1627,0,1,1,
27,27,1628,11,1,0,
27,27,1629,45,0,0,
27,27,1630,55,0,0,
27,27,1631,23,0,0,
27,27,1632,1,0,0,
27,27,1633,0,0,1,
27,27,1634,0,0,1,
27,27,1635,61,0,0,
27,27,1636,14,0,0,
27,27,1637,0,0,1,
27,27,1638,14,0,0,
27,27,1639,51,0,0,
27,27,1640,45,0,0,
