TrialRep,Model,AC,TransGen,Extinctions
9,ModelA,NoAuto,NoTrans,2362
9,ModelA,Auto,BothTrans,748
9,ModelA,Auto,NoTrans,2074
9,ModelB,NoAuto,BothTrans,1233
9,ModelB,NoAuto,NoTrans,2349
9,ModelB,Auto,BothTrans,1095
9,ModelB,Auto,NoTrans,2074
9,ModelA,NoAuto,WaspTrans,2362
9,ModelA,NoAuto,FlyTrans,1233
9,ModelA,Auto,WaspTrans,2074
9,ModelA,Auto,FlyTrans,1095
9,ModelB,NoAuto,WaspTrans,2349
9,ModelB,NoAuto,FlyTrans,1233
9,ModelB,Auto,WaspTrans,2074
9,ModelB,Auto,FlyTrans,1095
10,ModelA,NoAuto,BothTrans,1424
10,ModelA,NoAuto,NoTrans,2393
10,ModelA,Auto,BothTrans,656
10,ModelA,Auto,NoTrans,2396
10,ModelB,NoAuto,BothTrans,1411
10,ModelB,NoAuto,NoTrans,2374
10,ModelB,Auto,BothTrans,1439
10,ModelB,Auto,NoTrans,2122
10,ModelA,NoAuto,WaspTrans,2393
10,ModelA,NoAuto,FlyTrans,1424
10,ModelA,Auto,WaspTrans,2396
10,ModelA,Auto,FlyTrans,1439
10,ModelB,NoAuto,WaspTrans,2374
10,ModelB,NoAuto,FlyTrans,1411
10,ModelB,Auto,WaspTrans,2121
10,ModelB,Auto,FlyTrans,1439
11,ModelA,NoAuto,BothTrans,1516
11,ModelA,NoAuto,NoTrans,2352
11,ModelA,Auto,BothTrans,1512
11,ModelA,Auto,NoTrans,2035
11,ModelB,NoAuto,BothTrans,1516
11,ModelB,NoAuto,NoTrans,2324
11,ModelB,Auto,BothTrans,1510
11,ModelB,Auto,NoTrans,2034
11,ModelA,NoAuto,WaspTrans,2352
11,ModelA,NoAuto,FlyTrans,1516
11,ModelA,Auto,WaspTrans,2035
11,ModelA,Auto,FlyTrans,1512
11,ModelB,NoAuto,WaspTrans,2324
11,ModelB,NoAuto,FlyTrans,1516
11,ModelB,Auto,WaspTrans,2034
11,ModelB,Auto,FlyTrans,1510
12,ModelA,NoAuto,BothTrans,1373
12,ModelA,NoAuto,NoTrans,2268
12,ModelA,Auto,BothTrans,1328
12,ModelA,Auto,NoTrans,2094
12,ModelB,NoAuto,BothTrans,1373
12,ModelB,NoAuto,NoTrans,2268
12,ModelB,Auto,BothTrans,1132
12,ModelB,Auto,NoTrans,2093
12,ModelA,NoAuto,WaspTrans,2268
12,ModelA,NoAuto,FlyTrans,1373
12,ModelA,Auto,WaspTrans,2094
12,ModelA,Auto,FlyTrans,1328
12,ModelB,NoAuto,WaspTrans,2268
12,ModelB,NoAuto,FlyTrans,1373
12,ModelB,Auto,WaspTrans,2093
12,ModelB,Auto,FlyTrans,1132
13,ModelA,NoAuto,BothTrans,1570
13,ModelA,NoAuto,NoTrans,2350
13,ModelA,Auto,BothTrans,1085
